,t,farea,numfires,num_active_fires,tot_frp,mean_frp
91,2023-06-16 00:00:00,12725.96977599097,277,13,28.677013056637158,0.10352712294814857
92,2023-06-16 12:00:00,12825.581641974932,278,13,155.73372948079802,0.560193271513662
93,2023-06-17 00:00:00,13011.247706919889,272,12,21.51067875922863,0.07908337779128172
94,2023-06-17 12:00:00,13103.408449145929,274,12,88.96109630321371,0.3246755339533347
95,2023-06-18 00:00:00,13136.623912117384,264,13,29.60489167362851,0.1121397411879868
96,2023-06-18 12:00:00,13157.034423821062,261,13,175.3045080884028,0.6716647819479036
97,2023-06-19 00:00:00,13228.080399430923,255,20,33.35630660881158,0.13080904552475128
98,2023-06-19 12:00:00,13405.704938268962,258,29,381.60602222892777,1.4790931094144488
99,2023-06-20 00:00:00,13792.932547412829,261,40,59.51862981726658,0.22804072726922062
100,2023-06-20 12:00:00,14819.786292743438,271,51,1108.993282037071,4.092226132978119
101,2023-06-21 00:00:00,15862.19643429846,262,48,80.48657305967082,0.3072006605330947
102,2023-06-21 12:00:00,16526.98185103066,280,58,1210.0763372464837,4.321701204451726
103,2023-06-22 00:00:00,18778.585833065394,305,84,171.5370491370682,0.5624165545477644
104,2023-06-22 12:00:00,21430.918429716294,302,63,1795.7345426497043,5.946140869701009
105,2023-06-23 00:00:00,23750.451426383297,299,66,144.037862670421,0.48173198217532115
106,2023-06-23 12:00:00,24626.17337550798,293,40,786.3117737032441,2.683657930727795
107,2023-06-24 00:00:00,25965.992821876334,286,40,81.1203507610742,0.28363759007368605
108,2023-06-24 12:00:00,26968.155365859744,281,33,896.7024273734183,3.1911118411865416
109,2023-06-25 00:00:00,28843.666814524808,269,50,76.32791058120179,0.2837468794840216
110,2023-06-25 12:00:00,29752.227108301606,269,55,891.2882516785161,3.313339225570691
111,2023-06-26 00:00:00,29925.461041877465,257,50,92.81815871174891,0.3611601506293732
112,2023-06-26 12:00:00,30063.08863349713,250,37,780.186616149058,3.1207464645962317
113,2023-06-27 00:00:00,29872.36691045708,242,9,11.346744374437446,0.04688737344808861
114,2023-06-27 12:00:00,29836.47478469673,235,10,313.0253815369473,1.3320229001572226
115,2023-06-28 00:00:00,29906.212503564555,233,15,23.883370069575022,0.10250373420418464
116,2023-06-28 12:00:00,30452.750799501362,232,12,272.66174760890544,1.1752661534866613
117,2023-06-29 00:00:00,30637.444120099823,230,8,17.655734169326497,0.07676406160576738
118,2023-06-29 12:00:00,31142.526737980035,240,28,341.6568603210536,1.4235702513377233
119,2023-06-30 00:00:00,31360.743641719942,236,26,40.289081081882586,0.17071644526221438
120,2023-06-30 12:00:00,31296.647160135617,232,16,153.5397023678107,0.6618090619302185
121,2023-07-01 00:00:00,32178.684548740614,230,16,28.851996916422344,0.1254434648540102
122,2023-07-01 12:00:00,32469.369936122162,224,13,146.49156239232167,0.6539801892514362
