,InterCloud,t,lat,lon,current_mag,multiplicity_0,accr,error_elps,num_station,geometry
6603,0,2023-06-16 01:49:19.262,49.257668,-73.143472,-6933,0,0,10,2,POINT (-73.143472 49.257668)
6604,0,2023-06-16 02:26:48.480,49.262703,-73.208638,22803,0,0,15,1,POINT (-73.208638 49.262703)
6605,0,2023-06-16 01:49:19.388,49.297064,-73.205019,-8959,0,0,18,2,POINT (-73.205019 49.297064)
6606,0,2023-06-16 03:16:09.353,47.550077,-73.346597,-9632,0,0,13,2,POINT (-73.346597 47.550077)
6607,0,2023-06-16 03:01:23.392,47.588701,-73.376835,-7870,0,0,13,1,POINT (-73.376835 47.588701)
6608,0,2023-06-16 03:09:31.466,47.611689,-73.378805,-6535,0,0,11,2,POINT (-73.378805 47.611689)
6609,0,2023-06-16 03:22:59.972,47.634002,-73.329383,-8285,0,0,14,1,POINT (-73.329383 47.634002)
6610,0,2023-06-16 01:49:19.224,49.087609,-73.381253,-22362,0,0,21,1,POINT (-73.381253 49.087609)
6611,0,2023-06-16 01:58:50.368,49.291139,-73.240348,-6570,0,0,12,1,POINT (-73.240348 49.291139)
6612,0,2023-06-16 02:10:18.387,49.292875,-73.31073,-9097,0,0,10,3,POINT (-73.31073 49.292875)
6613,0,2023-06-16 02:00:07.736,49.293376,-73.287651,12108,0,0,17,1,POINT (-73.287651 49.293376)
6614,0,2023-06-16 02:27:39.181,49.325225,-73.354759,32131,0,0,24,1,POINT (-73.354759 49.325225)
6615,0,2023-06-16 02:22:10.846,49.325301,-73.331499,-9323,0,0,10,1,POINT (-73.331499 49.325301)
6616,0,2023-06-16 01:25:57.748,49.313905,-73.152286,-7036,0,0,14,2,POINT (-73.152286 49.313905)
6617,0,2023-06-16 02:02:37.865,49.319538,-73.209464,-9154,0,0,12,1,POINT (-73.209464 49.319538)
6618,0,2023-06-16 02:55:17.352,49.446164,-73.195879,-8137,0,0,14,5,POINT (-73.195879 49.446164)
6619,0,2023-06-16 02:31:43.542,49.498243,-73.238167,-11416,0,0,17,1,POINT (-73.238167 49.498243)
6620,0,2023-06-16 02:01:34.170,49.362916,-73.273703,-15206,0,0,25,2,POINT (-73.273703 49.362916)
6621,0,2023-06-16 02:18:40.731,49.370876,-73.296203,-5746,0,0,14,1,POINT (-73.296203 49.370876)
6622,0,2023-06-16 03:07:08.094,49.469998,-73.323572,35524,0,0,18,1,POINT (-73.323572 49.469998)
6623,0,2023-06-16 02:30:25.308,49.477987,-73.27066,10204,0,0,18,3,POINT (-73.27066 49.477987)
6624,0,2023-06-16 02:30:25.309,49.480303,-73.279619,33879,0,0,26,3,POINT (-73.279619 49.480303)
6625,0,2023-06-16 03:24:15.543,49.481135,-73.242814,67983,0,0,26,1,POINT (-73.242814 49.481135)
6626,0,2023-06-16 02:35:17.948,49.482727,-73.29773,-8715,0,0,12,3,POINT (-73.29773 49.482727)
6627,0,2023-06-16 02:59:37.332,49.487967,-73.326372,-20287,0,0,20,4,POINT (-73.326372 49.487967)
6628,0,2023-06-16 02:33:22.956,49.48861,-73.259623,15360,0,0,21,1,POINT (-73.259623 49.48861)
6629,0,2023-06-16 02:59:37.318,49.493169,-73.323463,-151167,0,0,27,4,POINT (-73.323463 49.493169)
